chr	trait	index	pos	lm_coefficient	variance_explained	pos.left_refineqtl	pos.peak_refineqtl	pos.right_refineqtl	max.lod	int.size
chrXV	Diamide	24344	102671	0.0526706322856495	0.00268222257977953	87344	102671	149214	6.1362907617405	61870
chrXIV	Diamide	23147	295870	0.0508734307987096	0.00267496464781826	241114	295870	303958	5.55153969628725	62844
chrXIII	Diamide	21608	413778	-0.0555035859391065	0.00238901813925947	406726	413778	474399	6.96862283827681	67673
chrX	Diamide	14732	521645	0.0617542607594796	0.0045407989876369	470533	520808	543383	8.49084493802206	72850
chrXVI	Diamide	27411	418457	0.0555233480530312	0.000920787527242688	377062	433340	463543	2.18258948578909	86481
chrIV	Diamide	4414	282145	-0.0533409386774831	0.00346099121431595	222257	282024	312250	6.6224730773597	89993
chrIV	Diamide	5696	1213560	0.0694998806242795	0.00515740142052559	1144484	1223971	1238608	10.7811027813611	94124
chrIX	Diamide	12745	273538	0.0153256174151684	0.000346118170504294	267764	398957	424914	0.104387945914596	157150
chrIV	Diamide	5860	1346336	-0.0391547488487337	0.00145930371634533	1318378	1346089	1507540	3.47116421205601	189162
chrXIV	Diamide	23848	680930	0.0343872892794077	0.00209506555545671	504677	680930	741004	2.61381030993732	236327
chrIV	Diamide	5028	629725	-0.0194854547943117	0.000249635844630395	283814	512368	926405	0.890421793426526	642591
chrI	E6-Berbamine	575	193500	-0.256869787214858	0.0510150339023796	193260	193500	194101	115.415478814622	841
chrXIV	E6-Berbamine	23470	466588	-0.419456901992026	0.139533213862703	466103	466588	467028	10.7427082521389	925
chrI	E6-Berbamine	114	49247	-0.174966256608393	0.0244721013205364	46723	49589	50343	58.0526951422619	3620
chrX	E6-Berbamine	14683	507730	0.138238775025458	0.0236327386375392	504709	507730	510548	33.7317745020788	5839
chrIX	E6-Berbamine	12695	261221	0.251512456620397	0.0412756960669156	259923	261061	266567	68.3509184347241	6644
chrXIII	E6-Berbamine	20660	51084	-0.467717032007942	0.0877475686025886	44612	51084	51433	2.53071632625597	6821
chrXIII	E6-Berbamine	21433	331334	0.0913918443122042	0.00912456035977129	329249	333449	336381	17.0153103601967	7132
chrX	E6-Berbamine	15119	660753	0.0778735802230914	0.00549674077597946	653283	660786	663511	12.1341415352175	10228
chrXIV	E6-Berbamine	23259	368183	-0.0911833385405178	0.006220543124165	366458	368183	380619	14.9807315944006	14161
chrXII	E6-Berbamine	19026	650767	-0.102397465625157	0.0115531823440005	645539	657492	659919	21.4365253938225	14380
chrVII	E6-Berbamine	8986	179910	0.129612223309529	0.0164190093847274	173856	181935	189910	34.0373447499018	16054
chrVI	E6-Berbamine	7944	92119	-0.0561146705799118	0.00182205730518072	77007	91475	94981	6.56128933862192	17974
chrVIII	E6-Berbamine	11149	115977	0.0972326894109494	0.00532832714985811	100079	115080	118068	17.4187399228643	17989
chrXIII	E6-Berbamine	22341	773437	0.0725993380524034	0.00440233926996247	759805	774681	779242	10.6824101158791	19437
chrXII	E6-Berbamine	20381	1015747	0.0526342905159664	0.00205186553256437	1007202	1015747	1027717	5.10963045937535	20515
chrXII	E6-Berbamine	18490	369482	-0.113524875424487	0.0201141268412937	347029	357723	369632	23.9350634440881	22603
chrI	E6-Berbamine	274	114652	0.0555679423655586	0.00550585855194848	107538	112549	130254	5.37401307411562	22716
chrXII	E6-Berbamine	18575	448368	-0.0584601425446891	0.00183630304505906	425418	445298	449184	6.27333756088274	23766
chrIX	E6-Berbamine	12556	212523	-0.0720105100892843	0.00245588918063945	193298	212523	219192	5.39257405880483	25894
chrVIII	E6-Berbamine	11392	184847	-0.0668776619775695	0.00587992957375244	160136	178843	186657	8.29426456574208	26521
chrXII	E6-Berbamine	20148	907910	-0.0695260584456424	0.00258847599518288	907052	933520	935517	8.77913915639044	28465
chrXIV	E6-Berbamine	23797	649810	-0.0702781257571719	0.00386087472396227	639287	649810	668533	9.6383278304794	29246
chrXI	E6-Berbamine	17160	534563	-0.0527988654663437	0.000887846432127843	528277	532847	560783	5.76914363541925	32506
chrXVI	E6-Berbamine	27043	211577	0.122667383541256	0.0152630633249022	176477	209279	212704	30.9808104666355	36227
chrVII	E6-Berbamine	9469	422386	0.0812830088591523	0.00537152641459279	401117	422386	437491	11.6374886225886	36374
chrXIII	E6-Berbamine	22610	912213	-0.0452628301330632	0.00235204023546996	873861	882406	914895	4.18935888027613	41034
chrIV	E6-Berbamine	4663	424905	-0.0671015221832974	0.00637727979449658	408981	431267	454676	8.71721892359085	45695
chrVII	E6-Berbamine	10127	851197	0.0541690573137971	0.00352215347776608	842206	851197	894336	6.04437051968659	52130
chrXIII	E6-Berbamine	20665	51596	0.230225237334319	0.0000728594899932106	51084	104510	104516	0.610516329596635	53432
chrV	E6-Berbamine	7127	374815	-0.0539570256960489	0.0019900395169069	357876	400915	412969	5.54382638887625	55093
chrX	E6-Berbamine	13360	48799	-0.0506288154619032	0.00282899123680133	32964	48799	89149	5.29030227835312	56185
chrIX	E6-Berbamine	12243	100423	0.0487733501045354	0.00149672554981923	94563	143302	158904	4.48330554161896	64341
chrII	E6-Berbamine	1853	434976	-0.0547971398325781	0.00407765532908391	406787	434976	472853	6.28411721124792	66066
chrIV	E6-Berbamine	4406	281327	-0.0477903753481578	0.000920232976813412	271035	281327	341953	4.67047988090394	70918
chrXVI	E6-Berbamine	27819	561434	0.0572959504806911	0.0031200086933784	485045	520404	566170	6.70377727331766	81125
chrV	E6-Berbamine	7271	481233	-0.0553616697746866	0.00435537959814497	475322	519742	565000	5.8449182157317	89678
chrIII	E6-Berbamine	3106	46562	-0.0366940231833464	0.00180122897282919	2926	46562	96805	2.82038881641517	93879
chrXVI	E6-Berbamine	28090	813147	-0.0483379155980258	0.00230584467655857	730292	769323	825433	4.8277067324409	95141
chrIV	E6-Berbamine	4995	614738	-0.0408065040799055	0.0014637765601395	584489	614738	681304	3.32530620456419	96815
chrXV	E6-Berbamine	24926	315509	-0.0682671434902044	0.00430748186893876	314187	394456	411283	9.65775873702751	97096
chrXIV	E6-Berbamine	23462	463554	0.0894487062767015	0.000181607205047524	368183	465005	466588	0.48745687094322	98405
chrIV	E6-Berbamine	3624	62324	0.0476177338383989	0.00348743795233609	50502	148638	168238	4.67015333089614	117736
chrVIII	E6-Berbamine	11621	372705	-0.0372272733955035	0.00342195461151644	341488	361900	522772	2.8528560667296	181284
chrVII	E6-Berbamine	9693	513842	-0.0405804843518892	0.00186377686459079	473502	580178	678429	2.9440615421521	204927
chrXIII	E6-Berbamine	20873	104516	-0.100703086310032	0.00777731620916773	104510	104516	333449	10.9963065890956	228939
chrIII	E6-Berbamine	3441	248549	0.0310004342405484	0.000678783182323742	46562	248549	302979	1.97613021902862	256417
chrIV	E6-Berbamine	5574	1077718	0.0317575630104472	0.00345332973977502	1036179	1064285	1420155	2.11507637307761	383976
chrX	E6-Berbamine	14406	393288	-0.0350783677762512	0.00114142766190608	52393	468122	502696	2.2956242696564	450303
chrXIV	Ethanol	23278	376490	0.300111164259675	0.077957368738032	374659	376490	379436	6.65798793015927	4777
chrXIII	Ethanol	20656	50109	-0.0991138421165784	0.017784407787571	47637	50109	53841	11.5775473348527	6204
chrXV	Ethanol	24027	35915	0.114471023460082	0.00873014661295981	33217	36415	40848	16.0038727560994	7631
chrXII	Ethanol	19026	650767	0.265856310670464	0.0702766618429028	647854	650767	657860	91.9801858800756	10006
chrXIV	Ethanol	23479	473303	0.147687767267125	0.0188587760946622	468488	473303	478701	25.4776308179719	10213
chrIV	Ethanol	4835	548896	-0.129039497221491	0.0178783503228816	539475	548896	551387	19.8316889345739	11912
chrIX	Ethanol	11995	37984	0.0971178421929113	0.0169252059666897	28874	33799	43493	11.1102696694748	14619
chrVI	Ethanol	7801	65504	-0.06484794564644	0.00414111153492564	52838	65504	74155	5.73143702688259	21317
chrVIII	Ethanol	11144	114144	0.139556897325928	0.0193212642409569	95661	114934	121315	26.2730062681233	25654
chrVIII	Ethanol	11941	521047	0.0828314699707137	0.00934290432601166	496069	521047	522772	9.32780755398085	26703
chrIII	Ethanol	3317	187346	0.0917908852593598	0.00497889671488004	168408	187655	204750	11.1068079414782	36342
chrXIII	Ethanol	22524	874942	-0.0556710995668325	0.00395642998275496	864754	874942	901535	4.2382182257935	36781
chrXV	Ethanol	25398	461793	-0.0710108329026847	0.00521162522757333	447942	462964	485781	6.88535898362846	37839
chrXVI	Ethanol	27656	492354	-0.0658569771201515	0.00477489638714878	478714	493521	518590	5.86314549046261	39876
chrX	Ethanol	13793	139088	0.0890451461202919	0.00826915706790041	104552	137767	146902	10.8071295200333	42350
chrII	Ethanol	1692	393269	-0.0621154583584358	0.00536604455072727	377867	393269	420411	5.23560101446719	42544
chrIX	Ethanol	12362	139513	0.0691282780929223	0.00427797459254652	98414	129784	141321	5.64206623749379	42907
chrXIII	Ethanol	21093	170785	-0.0678242327790021	0.0032234840091974	129926	155649	172925	5.4457980092829	42999
chrXI	Ethanol	16188	226101	0.068639704306202	0.00345836165650337	193550	226101	244792	6.15384229503013	51242
chrIII	Ethanol	3527	266048	-0.0384207923005683	0.00194515653440842	231858	265240	302979	1.95813275866743	71121
chrXV	Ethanol	24589	164284	-0.0747481093074234	0.00483069466243521	142835	164284	219832	6.83169074144121	76997
chrIV	Ethanol	5034	641150	-0.0596604830470989	0.00296845809186047	589875	653246	671424	4.27931281067464	81549
chrXVI	Ethanol	26727	53867	0.0431735902761851	0.00184238823693536	26510	53867	127372	2.54201397730071	100862
chrV	Ethanol	7153	397753	0.0540554121066407	0.00157167312868838	335812	397753	442211	4.00410749527339	106399
chrXII	Ethanol	20272	958253	0.0459394050933522	0.00229997147988097	940926	972987	1053478	2.89125528991428	112552
chrXI	Ethanol	16575	355074	-0.0520157604562027	0.00586860936452648	280991	356199	454594	3.52087268244122	173603
chrIV	Ethanol	5760	1268647	0.0450612186597358	0.000895419354062559	1201621	1268647	1420155	2.7844312136084	218534
chrII	Ethanol	1079	190980	0.0437275930129149	0.00206864141905917	139728	193664	393191	2.60258843366921	253463
chrXIV	Ethanol	23268	372376	-0.07801284218129	0.000382145103552182	18355	373134	376490	0.456387576977193	358135
chrVII	Ethanol	8804	127046	0.0417253782577866	0.000779204591088894	51531	519278	1075820	2.37926159386393	1024289
chrXV	Formamide	24576	162197	0.210667855816997	0.0435590884521848	159827	160644	163799	64.3149982489566	3972
chrXIII	Formamide	21602	410283	-0.101728647170627	0.010143723591313	406726	410283	411278	15.1264218310116	4552
chrXV	Formamide	25748	559465	-0.168529585652108	0.0300692993151624	555451	559465	560189	41.746946618606	4738
chrVIII	Formamide	11932	518945	0.105894678892918	0.0199143186080311	516811	518945	522772	15.1630187853235	5961
chrXIII	Formamide	20656	50109	-0.16511737366262	0.0305814290135568	49008	51951	60742	40.1847818270452	11734
chrVIII	Formamide	11143	113931	0.344341482068538	0.0923857413817563	103070	113931	114934	145.610946434258	11864
chrXII	Formamide	19028	657041	-0.0659058460601806	0.00513236049408739	643914	656891	660371	6.48551482218596	16457
chrVIII	Formamide	11374	181132	-0.0596516317624347	0.00323666830748349	165727	178104	185766	4.72315678693263	20039
chrXIV	Formamide	23483	481081	0.153153245854067	0.0194685453764006	467028	481081	487935	34.3859319492873	20907
chrVIII	Formamide	11803	440234	0.106012969511792	0.00914449738277226	422328	439617	447682	15.2107901919973	25354
chrIII	Formamide	3338	197306	0.116201036717404	0.0109158634085096	177081	197306	204750	20.0529173648019	27669
chrVII	Formamide	10130	852034	-0.0820521276769636	0.00422856992568227	837414	852034	868413	10.0221368146906	30999
chrXIII	Formamide	22329	761771	0.0726838067596484	0.00431172533870964	744435	761608	776467	7.41086401640507	32032
chrIV	Formamide	5450	997624	-0.14434564599706	0.0227267126962736	969630	997624	1004080	30.3782223980564	34450
chrII	Formamide	1682	391319	-0.0477912356133544	0.00219172709121657	392182	409149	427377	3.29903154461488	35195
chrV	Formamide	7330	501338	-0.0620959564048583	0.00484726311175022	481764	500063	518374	4.94321966245195	36610
chrV	Formamide	7236	451448	0.0890221060176843	0.00314476323691593	416841	450386	455676	10.1195445693934	38835
chrXVI	Formamide	27421	423962	-0.121068323798025	0.0134098049253152	387248	423898	426991	21.7023464483323	39743
chrX	Formamide	15106	657710	0.0694752630337753	0.00455289069179643	625035	657710	671070	7.23706619029002	46035
chrXI	Formamide	15871	138463	-0.0810395034609102	0.00311221147451437	101564	120175	148757	8.57222344877596	47193
chrXV	Formamide	26575	944430	0.0664550169441258	0.00467769404058473	912636	944430	960428	6.60270982751047	47792
chrXVI	Formamide	27035	207437	0.0641439587559195	0.00406169400931622	165244	208747	215587	6.1554601718334	50343
chrXIV	Formamide	23129	271098	-0.0884425454788236	0.00742070667962396	243530	277454	294413	11.6193187269195	50883
chrVII	Formamide	9773	560083	0.0677439398387045	0.00433890451816271	550438	560083	601612	6.81700016826591	51174
chrVI	Formamide	8351	207679	-0.0463169757081636	0.00186144701954727	171023	207679	225352	3.17722030526193	54329
chrXI	Formamide	15486	46843	0.0438583543413327	0.00126845283539408	12770	44246	67862	2.53317193596445	55092
chrXI	Formamide	16585	359142	0.0523150022193114	0.00219382485570411	308425	352346	382913	4.06952452230689	74488
chrII	Formamide	1316	256925	0.0490464801283452	0.00364338284056195	200530	256925	279910	3.47364917783881	79380
chrI	Formamide	98	45831	-0.0456372701858215	0.00372740775413265	33070	45831	119344	3.13058113795233	86274
chrXIII	Formamide	22125	642868	-0.0486737662099099	0.00262709329207724	595437	634784	697520	3.29897365576517	102083
chrIV	Formamide	5695	1201621	0.0472530195659552	0.00316274356136748	1144484	1213560	1248530	3.30129132977663	104046
chrVI	Formamide	7802	65802	-0.0444974591621219	0.00173443518528324	56298	76682	207041	2.9170887356002	150743
chrIV	Formamide	4825	542062	-0.0399011445013016	0.00187696899934575	363624	541985	562103	2.37964479105608	198479
chrV	Formamide	6805	211987	-0.0391743927816836	0.00108686503386334	34493	221810	238313	2.29995511346664	203820
chrVII	Formamide	9200	300190	0.0506389335054432	0.00551243641961195	51531	299249	338951	3.82592470476942	287420
chrII	Formamide	2951	734586	0.0428679332272503	0.0012358937195679	442309	462765	734775	2.76614522875599	292466
chrXII	Formamide	18080	228374	-0.0460035559818458	0.00301539301744183	184116	611179	614751	3.17723833719094	430635
chrIII	Hydroxyurea	3337	196733	0.091974703794393	0.00926946577404754	191932	196733	201978	8.74636628093455	10046
chrXIV	Hydroxyurea	23279	377031	-0.221633611871591	0.0483707462523102	371753	377031	382896	49.7862643234325	11143
chrIX	Hydroxyurea	12038	46174	0.0801775743269246	0.00529476335870642	29044	53815	57063	6.66062413300625	28019
chrXV	Hydroxyurea	25814	580357	0.0646330927566156	0.00418288679380568	548689	580495	590260	4.33492203090317	41571
chrXV	Hydroxyurea	24668	182946	-0.0844763567386964	0.00399228592030568	144008	184082	189231	6.74255653905817	45223
chrX	Hydroxyurea	13422	60299	0.0764799807184239	0.00604838953263094	49768	60299	95205	6.06024874340531	45437
chrXV	Hydroxyurea	24017	34772	0.0652337147516697	0.00369128563350718	33217	34772	86295	4.03879211092928	53078
chrXVI	Hydroxyurea	27714	506806	-0.0653864537266494	0.00424930026026749	476694	504270	533561	4.42761801876776	56867
chrI	Hydroxyurea	195	60774	0.0449192909948461	0.00294031362420967	33070	60774	127853	2.09560910003268	94783
chrIV	Hydroxyurea	5090	713336	-0.0604872390641931	0.00267005564769099	643151	713336	767007	3.80223507572445	123856
chrVI	Hydroxyurea	7848	76442	-0.0472547254230683	0.00272151677943275	56298	76682	208165	2.31493763907426	151867
chrVIII	Hydroxyurea	11121	99089	0.0340798178737813	0.00221274619431527	55990	409664	522772	1.2055112827483	466782
